entry,at,order
"The player ""EmperorPenguin @ wu4siWEy8A"" passed the room ownership to ""tzeng @ mvuSju_1SI"".",2023-02-25T11:22:04.742Z,167732412474200
"The player ""Andrew @ -kN9JZEj5n"" quits the game with a stack of 1713.37.",2023-02-25T11:12:27.364Z,167732354736401
"The player ""tzeng @ mvuSju_1SI"" stand up with the stack of 179.50.",2023-02-25T11:12:27.364Z,167732354736400
"-- ending hand #257 --",2023-02-25T11:12:21.358Z,167732354135803
"""Andrew @ -kN9JZEj5n"" shows a 2♥, 5♣.",2023-02-25T11:12:21.358Z,167732354135802
"""tzeng @ mvuSju_1SI"" collected 10.00 from pot with Flush, Qd High (combination: Q♦, 10♦, 9♦, 6♦, 2♦)",2023-02-25T11:12:21.358Z,167732354135801
"""tzeng @ mvuSju_1SI"" shows a 2♦, 9♦.",2023-02-25T11:12:21.358Z,167732354135800
"""Andrew @ -kN9JZEj5n"" checks",2023-02-25T11:12:20.463Z,167732354046300
"""tzeng @ mvuSju_1SI"" checks",2023-02-25T11:12:19.623Z,167732353962300
"River: 10♣, Q♦, 10♦, 6♦ [8♥]",2023-02-25T11:12:19.189Z,167732353918900
"""Andrew @ -kN9JZEj5n"" checks",2023-02-25T11:12:18.381Z,167732353838100
"""tzeng @ mvuSju_1SI"" checks",2023-02-25T11:12:17.450Z,167732353745000
"Turn: 10♣, Q♦, 10♦ [6♦]",2023-02-25T11:12:16.356Z,167732353635600
"""Andrew @ -kN9JZEj5n"" checks",2023-02-25T11:12:15.452Z,167732353545200
"""tzeng @ mvuSju_1SI"" checks",2023-02-25T11:12:14.585Z,167732353458500
"Flop:  [10♣, Q♦, 10♦]",2023-02-25T11:12:12.155Z,167732353215500
"""tzeng @ mvuSju_1SI"" calls 5.00",2023-02-25T11:12:11.276Z,167732353127600
"""Andrew @ -kN9JZEj5n"" raises to 5.00",2023-02-25T11:12:10.377Z,167732353037700
"""tzeng @ mvuSju_1SI"" posts a big blind of 0.50",2023-02-25T11:12:00.367Z,167732352036705
"""Andrew @ -kN9JZEj5n"" posts a small blind of 0.25",2023-02-25T11:12:00.367Z,167732352036704
"Your hand is 2♦, 9♦",2023-02-25T11:12:00.367Z,167732352036702
"Player stacks: #4 ""tzeng @ mvuSju_1SI"" (174.50) | #7 ""Andrew @ -kN9JZEj5n"" (1718.37)",2023-02-25T11:12:00.367Z,167732352036701
"-- starting hand #257 (id: bxkrlcx0x2qn)  (No Limit Texas Hold'em) (dealer: ""Andrew @ -kN9JZEj5n"") --",2023-02-25T11:12:00.367Z,167732352036700
"""tzeng @ mvuSju_1SI"" shows a K♦, A♦.",2023-02-25T11:11:55.392Z,167732351539200
"Undealt cards: 5♥, A♥, 7♦, 2♠ [J♠]",2023-02-25T11:11:55.084Z,167732351508400
"-- ending hand #256 --",2023-02-25T11:11:53.753Z,167732351375301
"""tzeng @ mvuSju_1SI"" collected 2.00 from pot",2023-02-25T11:11:53.753Z,167732351375300
"""Andrew @ -kN9JZEj5n"" folds",2023-02-25T11:11:52.922Z,167732351292200
"Turn: 5♥, A♥, 7♦ [2♠]",2023-02-25T11:11:43.743Z,167732350374300
"""tzeng @ mvuSju_1SI"" checks",2023-02-25T11:11:42.876Z,167732350287600
"""Andrew @ -kN9JZEj5n"" checks",2023-02-25T11:11:39.897Z,167732349989700
"Flop:  [5♥, A♥, 7♦]",2023-02-25T11:11:38.605Z,167732349860500
"""Andrew @ -kN9JZEj5n"" calls 1.00",2023-02-25T11:11:37.802Z,167732349780200
"""tzeng @ mvuSju_1SI"" raises to 1.00",2023-02-25T11:11:32.811Z,167732349281100
"""Andrew @ -kN9JZEj5n"" posts a big blind of 0.50",2023-02-25T11:11:16.723Z,167732347672307
"""tzeng @ mvuSju_1SI"" posts a small blind of 0.25",2023-02-25T11:11:16.723Z,167732347672306
"Your hand is K♦, A♦",2023-02-25T11:11:16.723Z,167732347672304
"Player stacks: #4 ""tzeng @ mvuSju_1SI"" (173.50) | #7 ""Andrew @ -kN9JZEj5n"" (1719.37)",2023-02-25T11:11:16.723Z,167732347672303
"-- starting hand #256 (id: tne9fhza7xzr)  (No Limit Texas Hold'em) (dealer: ""tzeng @ mvuSju_1SI"") --",2023-02-25T11:11:16.723Z,167732347672302
"The player ""EmperorPenguin @ wu4siWEy8A"" quits the game with a stack of 0.00.",2023-02-25T11:11:16.723Z,167732347672301
"The player ""jsu @ JCMKyZuhdN"" stand up with the stack of 696.84.",2023-02-25T11:11:16.723Z,167732347672300
"-- ending hand #255 --",2023-02-25T11:11:08.716Z,167732346871602
"""Andrew @ -kN9JZEj5n"" collected 406.61 from pot with Pair, K's on the second run  (combination: K♦, K♣, 9♥, 8♥, 7♦)",2023-02-25T11:11:08.716Z,167732346871601
"""Andrew @ -kN9JZEj5n"" collected 406.61 from pot with Four of a Kind, K's (combination: K♦, K♣, K♥, K♠, A♦)",2023-02-25T11:11:08.716Z,167732346871600
"River (second run): 9♥, 6♥, 3♣, 8♥ [7♦]",2023-02-25T11:11:04.712Z,167732346471200
"Turn (second run): 9♥, 6♥, 3♣ [8♥]",2023-02-25T11:11:00.586Z,167732346058600
"Flop (second run):  [9♥, 6♥, 3♣]",2023-02-25T11:10:56.511Z,167732345651100
"River: K♥, 7♠, K♠, A♦ [J♠]",2023-02-25T11:10:52.506Z,167732345250600
"Turn: K♥, 7♠, K♠ [A♦]",2023-02-25T11:10:48.380Z,167732344838000
"Flop:  [K♥, 7♠, K♠]",2023-02-25T11:10:44.305Z,167732344430500
"""EmperorPenguin @ wu4siWEy8A"" shows a Q♠, Q♥.",2023-02-25T11:10:40.300Z,167732344030001
"""Andrew @ -kN9JZEj5n"" shows a K♦, K♣.",2023-02-25T11:10:40.300Z,167732344030000
"All players in hand choose to run it twice.",2023-02-25T11:10:39.393Z,167732343939301
"""EmperorPenguin @ wu4siWEy8A"" chooses to  run it twice.",2023-02-25T11:10:39.393Z,167732343939300
"""Andrew @ -kN9JZEj5n"" chooses to  run it twice.",2023-02-25T11:10:39.324Z,167732343932400
"Remaining players decide whether to run it twice.",2023-02-25T11:10:39.293Z,167732343929301
"""EmperorPenguin @ wu4siWEy8A"" calls 406.36 and go all in",2023-02-25T11:10:39.293Z,167732343929300
"""Andrew @ -kN9JZEj5n"" raises to 406.36",2023-02-25T11:10:23.429Z,167732342342900
"""EmperorPenguin @ wu4siWEy8A"" raises to 30.00",2023-02-25T11:10:21.817Z,167732342181700
"""Andrew @ -kN9JZEj5n"" raises to 10.00",2023-02-25T11:10:16.231Z,167732341623100
"""tzeng @ mvuSju_1SI"" folds",2023-02-25T11:10:13.979Z,167732341397900
"""EmperorPenguin @ wu4siWEy8A"" raises to 3.00",2023-02-25T11:10:13.060Z,167732341306000
"""Andrew @ -kN9JZEj5n"" raises to 1.50",2023-02-25T11:10:09.976Z,167732340997600
"""jsu @ JCMKyZuhdN"" folds",2023-02-25T11:10:08.335Z,167732340833500
"""tzeng @ mvuSju_1SI"" posts a big blind of 0.50",2023-02-25T11:10:07.061Z,167732340706108
"Dead Small Blind",2023-02-25T11:10:07.061Z,167732340706107
"Your hand is 2♣, J♥",2023-02-25T11:10:07.061Z,167732340706103
"Player stacks: #4 ""tzeng @ mvuSju_1SI"" (174.00) | #6 ""jsu @ JCMKyZuhdN"" (696.84) | #7 ""Andrew @ -kN9JZEj5n"" (1312.51) | #9 ""EmperorPenguin @ wu4siWEy8A"" (406.36)",2023-02-25T11:10:07.061Z,167732340706102
"-- starting hand #255 (id: 93fkxj97z86j)  (No Limit Texas Hold'em) (dealer: ""EmperorPenguin @ wu4siWEy8A"") --",2023-02-25T11:10:07.061Z,167732340706101
"The player ""SHIKMAN @ 6AIys4Ls8K"" quits the game with a stack of 0.00.",2023-02-25T11:10:07.061Z,167732340706100
"""EmperorPenguin @ wu4siWEy8A"" shows a 8♥, 8♦.",2023-02-25T11:10:01.482Z,167732340148200
"-- ending hand #254 --",2023-02-25T11:10:00.479Z,167732340047901
"""Andrew @ -kN9JZEj5n"" collected 176.77 from pot with Two Pair, J's & 3's (combination: J♦, J♣, 3♦, 3♠, 7♠)",2023-02-25T11:10:00.479Z,167732340047900
"River: 3♦, 3♠, J♣, 6♠ [5♥]",2023-02-25T11:09:56.465Z,167732339646500
"Turn: 3♦, 3♠, J♣ [6♠]",2023-02-25T11:09:52.463Z,167732339246300
"Flop:  [3♦, 3♠, J♣]",2023-02-25T11:09:48.454Z,167732338845400
"""SHIKMAN @ 6AIys4Ls8K"" shows a 6♥, 2♥.",2023-02-25T11:09:44.446Z,167732338444601
"Uncalled bet of 318.35 returned to ""Andrew @ -kN9JZEj5n""",2023-02-25T11:09:44.446Z,167732338444600
"""Andrew @ -kN9JZEj5n"" shows a J♦, 7♠.",2023-02-25T11:09:44.155Z,167732338415500
"Some players choose to not run it twice.",2023-02-25T11:09:43.573Z,167732338357301
"""SHIKMAN @ 6AIys4Ls8K"" chooses to not run it twice.",2023-02-25T11:09:43.573Z,167732338357300
"""Andrew @ -kN9JZEj5n"" chooses to  run it twice.",2023-02-25T11:09:42.860Z,167732338286000
"Remaining players decide whether to run it twice.",2023-02-25T11:09:42.830Z,167732338283001
"""SHIKMAN @ 6AIys4Ls8K"" calls 88.26 and go all in",2023-02-25T11:09:42.830Z,167732338283000
"""EmperorPenguin @ wu4siWEy8A"" folds",2023-02-25T11:09:41.482Z,167732338148200
"""Andrew @ -kN9JZEj5n"" raises to 406.61",2023-02-25T11:09:38.181Z,167732337818100
"""jsu @ JCMKyZuhdN"" folds",2023-02-25T11:09:35.707Z,167732337570700
"""tzeng @ mvuSju_1SI"" folds",2023-02-25T11:09:34.663Z,167732337466300
"""SHIKMAN @ 6AIys4Ls8K"" posts a big blind of 0.50",2023-02-25T11:09:33.040Z,167732337304012
"""EmperorPenguin @ wu4siWEy8A"" posts a small blind of 0.25",2023-02-25T11:09:33.040Z,167732337304011
"Your hand is A♥, 2♦",2023-02-25T11:09:33.040Z,167732337304007
"Player stacks: #1 ""SHIKMAN @ 6AIys4Ls8K"" (88.26) | #4 ""tzeng @ mvuSju_1SI"" (174.00) | #6 ""jsu @ JCMKyZuhdN"" (696.84) | #7 ""Andrew @ -kN9JZEj5n"" (1224.00) | #9 ""EmperorPenguin @ wu4siWEy8A"" (406.61)",2023-02-25T11:09:33.040Z,167732337304005
"-- starting hand #254 (id: oimzvosn90yn)  (No Limit Texas Hold'em) (dealer: ""Andrew @ -kN9JZEj5n"") --",2023-02-25T11:09:33.040Z,167732337304004
"The player ""SHIKMAN @ 6AIys4Ls8K"" joined the game with a stack of 88.26.",2023-02-25T11:09:33.040Z,167732337304003
"The game's big blind was changed from 1.00 to 0.50.",2023-02-25T11:09:33.040Z,167732337304002
"The game's small blind was changed from 1.00 to 0.25.",2023-02-25T11:09:33.040Z,167732337304001
"The player ""shaan @ 983r-_KdVZ"" stand up with the stack of 1257.50.",2023-02-25T11:09:33.040Z,167732337304000
"""tzeng @ mvuSju_1SI"" shows a J♦, 10♦.",2023-02-25T11:09:29.795Z,167732336979500
"-- ending hand #253 --",2023-02-25T11:09:26.436Z,167732336643603
"""EmperorPenguin @ wu4siWEy8A"" shows a 7♦, 9♣.",2023-02-25T11:09:26.436Z,167732336643602
"""jsu @ JCMKyZuhdN"" collected 32.50 from pot with Two Pair, K's & 10's (combination: K♣, K♦, 10♠, 10♣, 9♠)",2023-02-25T11:09:26.436Z,167732336643601
"""jsu @ JCMKyZuhdN"" shows a 7♣, K♣.",2023-02-25T11:09:26.436Z,167732336643600
"""jsu @ JCMKyZuhdN"" checks",2023-02-25T11:09:25.526Z,167732336552600
"""EmperorPenguin @ wu4siWEy8A"" checks",2023-02-25T11:09:24.603Z,167732336460300
"River: K♦, 7♥, 9♠, 10♠ [10♣]",2023-02-25T11:09:22.833Z,167732336283300
"""jsu @ JCMKyZuhdN"" checks",2023-02-25T11:09:21.931Z,167732336193100
"""EmperorPenguin @ wu4siWEy8A"" checks",2023-02-25T11:09:20.970Z,167732336097000
"Turn: K♦, 7♥, 9♠ [10♠]",2023-02-25T11:09:19.233Z,167732335923300
"""tzeng @ mvuSju_1SI"" folds",2023-02-25T11:09:18.329Z,167732335832900
"""EmperorPenguin @ wu4siWEy8A"" calls 12.75",2023-02-25T11:09:17.424Z,167732335742400
"""Andrew @ -kN9JZEj5n"" folds",2023-02-25T11:09:05.326Z,167732334532600
"""jsu @ JCMKyZuhdN"" raises to 12.75",2023-02-25T11:09:04.442Z,167732334444200
"""tzeng @ mvuSju_1SI"" calls 3.00",2023-02-25T11:09:02.316Z,167732334231600
